id,genres,cast,writers,production_companies,director,producers,original_language,runtime,rating,main_genre,lang,cast_count,writers_count,director_known
1991,Comedy,"Saaya, Toru Furuya, Seizô Katô, Toshio Kurosawa, Nao Nagasawa, Daizo, Kazuki Kato","Minoru Kawasaki, Masakazu Migita, Kenji Sonishi",Neko Râmen Taishô Kumiai,Minoru Kawasaki,Unknown,ja,80,5.8,Comedy,ja,7,3,1
1992,Family,Unknown,Unknown,Unknown,Unknown,Unknown,en,96,5.2,Family,en,0,0,0
1993,"Horror, Action","Isabella Calthorpe, Simon MacCorkindale, Tom Felton, Cornelius Clarke, Gabriel Thomson, Sue Scadding, Gemma Atkinson, Peter Gadiot, Joshua Bowman, John Lynch, Antony De Liseo",Adam Phillips,Eyeline Productions,Jonathan Glendening,Unknown,en,81,4.5,Horror,en,11,1,1
1994,"Science Fiction, Action, Fantasy","Gurmeet Ram Rahim Singh, Honeypreet Insan",Gurmeet Ram Rahim Singh,Hakikat Entertainment,Gurmeet Ram Rahim Singh,Unknown,hi,120,7.0,Science Fiction,hi,2,1,1
1995,Drama,"Innocent, Captain Raju, Salim Kumar, Cochin Haneefa, Balachandran Chullikkadu, Jayaram, Nedumudi Venu, Ramu, Jagathy Sreekumar, Saikumar, Remya Nambeesan, Kaviyoor Ponnamma, Tom Jacob, KPAC Lalitha",Sudheesh John,Swagatham Films,Jayaraj,Unknown,ml,130,4.6,Drama,ml,14,1,1
1996,Comedy,Evgeniy Chebatkov,Evgeniy Chebatkov,Medium Quality,Dmitry Fadeev,"Vyacheslav Dusmukhametov, Roman Kolesnikov, Dmitry Grishin, Tomas Gaysanov, Anton Kurilchik",ru,60,6.0,Comedy,ru,1,1,1
1997,"Romance, Music","Rehman, Raj Mehra, Sunil Dutt, Nazima, Meena Kumari, Rajendranath Malhotra","Majnu Lucknowi, Agha Jani Kashmiri",Unknown,Ved Madan,Ved Madan,ur,135,6.0,Romance,ur,6,2,1
1998,Drama,"Annika Whitely, Kay Ekiund, Kim Ooh-jin, Mikael Koski, Lee Seung-ha, Jack Campbell, Gong Hyo-jin, Keith Thomas, Benedict Hardie, Choi Jun-young, Kim Hak-seon, Kim Soo-jin, An So-hee, Yeon Song-ha, Leeanna Walsman, Baek Soo-jang, Lee Byung-hun",Lee Zoo-young,"Warner Bros. Korea, Perfect Storm Film, BH Entertainment, M-Line Distribution",Lee Zoo-young,"Choi Jae-won, Choi Won-ki, Cha Hyun-woo, Kang Myung-chan, Ha Jung-woo",ko,97,7.2,Drama,ko,17,1,1
1999,Documentary,Winston Hibler,Winston Hibler,Walt Disney Productions,James Algar,Ben Sharpsteen,en,69,7.125,Documentary,en,1,1,1
2000,Drama,"Aleksei Shevchenkov, Yevgeniy Fyodorov, Olesya Shabanova, Dmitry Chestnov, Sergey Geybah, Roman Vorontsov, Era Ziganshina, Irina Pegova, Alexandr Belousov, Vasilisa Tsvetkova, Mariya Semyonova, Konstantin Shelestun, Natalya Indeykina, Igor Lepikhin, Natalya Parashkina, Khelga Filippova, Sergey Mardar, Tatyana Bulanova, Evgeny Karpov, Andrey Fedechko, Andrey Noskov, Vera Tran, Olga Albanova, Dmitry Khasanov, Ilya Tiunov, Oleg Almazov, Sergey Migitsko, Yuriy Itskov, Tatyana Kolganova, Alexandr Chernyshev, Galina Bokashevskaya, Sergey Umanov, Ulyana Nikulina, Sergey Peregudov, Gennadiy Smirnov, Vadim Skvirskiy, Mikhail Tarakanov, Tatyana Ryabokon, Yulia Grishaeva, Natalya Vysochanskaya, Mikhail Porechenkov, Daniil Shigapov, Beata Makovskaya, Artur Kharitonenko, Kirill Semenov, Irina Tivian, Nadezhda Kulakova",Tatyana Kolganova,"Mars Media Entertainment, Ministry of Culture of the Russian Federation",Tatyana Kolganova,"Aram Movsesyan, Ruben Dishdishyan",ru,102,6.0,Drama,ru,47,1,1
2001,"Drama, Romance","Nidhi Kushalappa, Pranam Devaraj",Unknown,Unknown,Unknown,Unknown,kn,141,7.0,Drama,kn,2,0,0
2002,"Comedy, Romance","Ian MacNaughton, James Anderson, Ronald Squire, Walter Horsbrugh, Nell Ballantyne, Sebastian Shaw, Tom Baird-Ferguson, Rikki Fulton, Keith Faulkner, Eric Woodburn, James Gilbert, Jameson Clark, Margaret Boyd, James Copeland, Archie Duncan, Julian D'Albie, Norman MacOwan, Raymond Huntley, Kynaston Reeves, Kathleen Ryan, Jean Colin, Howard Connell, Tony Kilshawe, Lionel Harris, Roddy McMillan, Grace Gavin, Prunella Scales, Andrew Keir, Meg Buchanan, Fulton Mackay","Alfred Shaughnessy, Eric Linklater, John Eldridge",Unknown,John Eldridge,Unknown,en,77,6.0,Comedy,en,30,3,1
2003,Horror,"Chris Mulkey, Alex Sell, María Conchita Alonso, Tony Demeo, Lin Shaye, Jasmina Hdagha, Lee Tichon, Arielle Vandenberg, John Wehrly, Samuel Reynolds, Billy Drago, Dana Mennie, Norman Mora, Michael Hirshenson, Sid Haig, Max Ryan, Ginny Weirick, Ariana Malik, Rikki Gagne, Joe Ordaz, Chris Divecchio","Dana Mennie, Ian Cook","Flick Investments Group, Lightning Strikes Productions",Dana Mennie,"Richard Cueto, George Nemetz, Ken Dropek, Lance H. Robbins, Dana Mennie",en,124,4.3,Horror,en,21,2,1
2004,"Comedy, Drama, Music","Emilia Clarke, Craig Cheetham, Jimmy Gallagher, Jim Sturgess, Bill Rodgers, Steve Marsh, Sean Cernow, Charlie Clemmow, Orla Poole, Terry Christian, Mickey O'Brien, Rowetta, Billie May Coghill, TJ Jones, Daniel Seymour, Kaya Scodelario, Andrew Lythall, Jordan Hill, Oliver Heald, Beatrice Kelley, Elliott Tittensor, Paul Popplewell, Michael Socha, Kieran O'Brien, Chris Coghill, Danny Cunningham, Nick Blood, Andrew Knott, Jack Harper, Jordan Murphy, James Mair, Nico Mirallegro, Antonia Thomas, Tigga Goulding, Steve Evets, Ciara Baxendale, Robert James-Collier, Philip Jackson, Matthew McNulty, Adam Long, Jodie Whittaker, Lesley Manville, Sophia Murphy, Jake Abraham, Jodie Hamblet, Abigail Hill",Chris Coghill,"Head Gear Films, Bankside Films, Fiesta Productions, Vertigo Films, BBC Film",Mat Whitecross,"Phil Hunt, Joe Oppenheimer, Esther Douglas, Compton Ross, Adam Kulick, Fiona Neilson",en,96,6.478,Comedy,en,46,1,1
2005,"Comedy, Romance","Thijs Römer, Nadja Hüpscher, Henry van Loon, Geert Lageveen, Loes Haverkort, Jeroen Spitzenberger, Yvon Jaspers, Thomas Cammaert, Martijn Lakemeier, Elise Schaap, Manuel Broekman, Raymonde de Kuyper, Viggo Waas","Elle van Rijn, Alma Mathijsen","RTL Entertainment, Eyeworks Film & TV Drama",Kees van Nieuwkerk,"Maarten Swart, Francisco Sánchez Ortiz, María Angulo Velasco, Erwin Godschalk",nl,96,6.048,Comedy,nl,13,2,1
2006,Drama,"Henry O'Neill, Kathleen Lockhart, James Craig, Elisabeth Risdon, Robert Blake, Margaret O'Brien, Donald Meek, William Bishop, Alan Napier, Philip Merivale, Keenan Wynn, Walter Fenner, Hooper Atchley, Victor Sen Yung, Howard Freeman, Barbara Bedford, Naomi Childers, Pauline Starke, Eddie Acuff, Sara Haden, Marsha Hunt, Mike Mazurki, Ava Gardner","Angna Enters, Isobel Lennart",Metro-Goldwyn-Mayer,Roy Rowland,Robert Sisk,en,91,7.5,Drama,en,23,2,1
2007,"Thriller, Drama, Horror","John Shay, William Aldrich, Bert Freed, Robert Cornthwaite, Julie Allred, Anna Lee, Maxine Cooper, Gina Gillespie, Sammy Shack, Joan Crawford, Barbara Merrill, Norman Papson, Jack Tornek, Dorothea Lord, Ralph Hart, Don Ross, Russ Conway, Ernest Anderson, Peter Virgo, Mike Ragan, Maidie Norman, Robert Perry, Murray Alper, Wesley Addy, Marjorie Bennett, Bill Walker, Victor Buono, Anne Barton, Debbie Burton, Ralph Volkie, Michael Fox, James Seay, Bobs Watson, Michael St. Angel, Bette Davis, Dave Willock, Jon Shepodd, Steve Condit","Lukas Heller, Henry Farrell","The Associates & Aldrich Company, Seven Arts Productions, Warner Bros. Pictures",Robert Aldrich,"Kenneth Hyman, Robert Aldrich",en,135,7.928,Thriller,en,38,2,1
2008,Drama,"Ivam Cabral, Nany People, Luiza Gottschalk, Tiago Leal",Ivam Cabral,Unknown,Rodolfo García Vázquez,Unknown,pt,85,5.0,Drama,pt,4,1,1
2009,"Drama, History","Peter Graves, Lawrence O'Madden, Henry Oscar, Mary Clare, Leslie Banks, Eugene Deckers, Ralph Truman, Ivor Barnard, Scott Forbes, John Stuart, Lily Kann, Frederick Valk, Wanda Rotha, Margaretta Scott, Barry Morse, Arthur Dulac, Frederick Leister, Helen Haye, Joyce Howard, Chili Bouchier","Winifred Carter, Montgomery Tully",British National Films,Montgomery Tully,Louis H. Jackson,en,99,6.0,Drama,en,20,2,1
2010,Documentary,"Mariana Ximenes, Paulo José, Clara Kutner, Selton Mello, Matheus Nachtergaele, Bel Kutner, Helena Ignez, Joana Fomm, Milton Gonçalves, Ana Kutner, Paulo Henrique Caruso, Flávio Migliaccio, Kika Lopes, Fernanda Montenegro",Unknown,"Bananeira Filmes, Canal Brasil, Globo Filmes","Gustavo Ribeiro, Rodrigo de Oliveira",Vânia Catani,pt,90,6.3,Documentary,pt,14,0,1
2011,"Drama, Romance","Jose Luis Osmeña, Subas Herrero, Rudy Pontigon, Alvaro Pertierra, Edu Manzano, Marissa Delgado, Sunshine Cruz, Tonypet Yulo, Jerry Mongcal, John Arceo, Teofe Alanano, Teresa Loyzaga, John Lapus, Datu Gallaga, Gardo Versoza, Junell Hernando, Patricia Javier, Zoltan Amore","Paul Daza, Peque Gallaga, Lore Reyes","Serafim Productions, Viva Films","Peque Gallaga, Lore Reyes",Unknown,tl,96,3.5,Drama,tl,18,3,1
2012,Unknown,"Giorgia Andriani, Shreyas Talpade, Sharat Saxena, Tigmanshu Dhulia, Sanjay Mishra",Unknown,Unknown,Ashish Kumar Dubey,Unknown,en,140,10.0,Unknown,en,5,0,1
2013,"Science Fiction, Action, Adventure",Unknown,Unknown,Unknown,Kristen Hilkert,Unknown,en,83,6.0,Science Fiction,en,0,0,1
2014,Unknown,"Pyotr Lyubeshkin, Dmitri Matveyev, Svetlana Konovalova, Klara Luchko, Vladimir Druzhnikov, Grigoriy Malikov, Svetlana Starikova, Valentina Berezutskaya, Margarita Sergeyecheva, Andrei Gusev, Galina Komarova, Vladislav Galkin, Anatoly Vedyonkin, Vasyl Petrenko, Aleksandr Yanvaryov, Aleksandr Kulyamin, Baadur Tsuladze, Fyodor Smirnov, Igor Yasulovich, Yuri Gusev, Vitaliy Komissarov, Anatoly Golik, Vladimir Protasenko, Gennadiy Yukhtin, Yuri Duvanov, Vladimir Nosik","Aleksey German, Svetlana Karmalita",Unknown,Rudolf Fruntov,Unknown,ru,93,2.5,Unknown,ru,26,2,1
2015,Crime,"Eigil Reimers, Edith Hermansen, Benny Hansen, Bo Christensen, Gunnvør Nolsøe, Henning Moritzen, Jeanne Darville, Flemming Dyjak, Paul Schleisner, Gyda Hansen , Susanne Jagd, Kirsten Peüliche, Rie Rosenberg, Inga Reim, Kirsten Søberg, Søren Elung Jensen, Bibi Andersson, Lis Ågård, Bodil Miller, Poul Petersen, Søren Weiss, Ejner Federspiel, Peter Steen, Jeppe Munkholm",Unknown,Nordisk Film Denmark,Palle Kjærulff-Schmidt,Bo Christensen,da,102,6.0,Crime,da,24,0,1
2016,Comedy,"Pradeep Patwardhan, Pooja Naik, Jai Basantu Singh, Makarand Anaspure, Sanjay Narvekar, Nirmiti Sawant",Jai Basantu Singh,"Ridhi Sidhi Films, AJ Films Entertainment World",Jai Basantu Singh,"Jai Basantu Singh, Tanaji Jadhav",mr,130,4.0,Comedy,mr,6,1,1
2017,"Drama, History","Aino Angerkoski, Yrjö Tuominen, Leo Lähteenmäki, Regina Linnanheimo, A. Hytönen, Artturi Laakso, Oiva Luhtala, Lennart Vaikonpää, Olavi Saarinen, Ossi Elstelä, Aino Haverinen, Aku Korhonen, Uolevi Aho, Edvard Hytönen, Otto Noro, Kalevi Mykkänen, Viljo Lampela, Ahti Lehtinen, Lauri Kyöstilä, Tauno Palo, Hannes Hako, Kyösti Erämaa, Eino Jurkka, Unto Kuhankoski, Maikki Hako, Aarne Virkki, Eero Kilpi, Johan Jäätiö, Siiri Angerkoski, Olavi Suominen, Kaarlo Saarnio, Erkki Salin, Aatu Talanne, Runar Schauman, Kaarlo Angerkoski, Hannes Häyrinen, Toivo Suonpää, Laila Rihte, Kyösti Käyhkö, Rauli Tuomi, Aku Käyhkö, Unto Salminen, Kauko Kokkonen, Kaarlo Hiltunen, Leo Sarri, Valter Tuomi, Seppo Sariola, Yrjö Kostermaa, Arvo Kuusla, Wilho Ilmari, Irja Kuusla, Eino Salmi, Eino Kaipainen, Jalmari Rinne, Armas Fredman, Arja Niska, Urho Westman, Toppo Elonperä, Matti Aulos, Irja Elstelä","Mika Waltari, T.J. Särkkä",Suomen Filmiteollisuus,"T.J. Särkkä, Yrjö Norta",T.J. Särkkä,fi,99,5.0,Drama,fi,60,2,1
2018,Unknown,"Thilakan, Jagathy Sreekumar, Mukesh, Jyothirmayi, Padmapriya Janakiraman, Urvashi","Venu Nagavalli, Cheriyan Kalpakavadi",Emirate Films,Venu Nagavalli,Unknown,ml,129,4.0,Unknown,ml,6,2,1
2019,Comedy,"Emilio García Domenech, José Luis Lespe, María José Alfonso, Manuel Summers, Víctor Lara, Paquito Lara, Mercedes Huete, Alfredo Landa, Diego Rañón, José Vicente Cerrudo, Vicky Lagos, Manuel Guitián, Manuel Ayuso, Silvia Fraire, Doris Kent, Antonio P. Costafreda, Francisco Summers, Felipe Martín Puertas, Salvador Cortés, Miguel Cepeda Vélez, Carmen Santonja, Pilar Gómez Ferrer, Juanito 'El Bicicletas', Vicente Llosá","Tico Medina, Manuel Summers, Bernardo Ballester, Pilar Miró, Francisco Summers","Eco Films, Impala",Manuel Summers,Unknown,es,85,5.0,Comedy,es,24,5,1
2020,Documentary,"Alexandra Munroe, Ai Weiwei, Chelsea Manning",Unknown,Unknown,Cheryl Haines,Unknown,en,76,8.8,Documentary,en,3,0,1
2021,"Documentary, TV Movie","Fred Phelps, Josh Jakes, Bethany Hockenbarger, Daniel Jakes, Chris Jakes, Shirley Phelps-Roper, Louis Theroux, Steve Drain",Louis Theroux,Unknown,Geoffrey O'Connor,"Peter Dale, Geoffrey O'Connor, Arron Fellows",en,60,7.6,Documentary,en,8,1,1
2022,Western,"Jack Taylor, José Marco, Tito García, George Martin, Luis Induni, Aldo Sambrell, Joaquín Pamplona, Silvia Solar, Mercedes Alonso",Amando de Ossorio,Fénix Cooperativa Cinematográfica,Amando de Ossorio,Unknown,es,81,7.0,Western,es,9,1,1
2023,"Drama, Comedy","Yasser El Tobgy, Shaimaa Saif, Ahmad Rateb, Dorra, Abdallah Meshref, Salwa Othman, Mohamed Metwally, Khaled Elish, Osama Abdullah, Samy Maghawry, Sherif Salama","Feisal Abdul Samad, Magdi Alkdash",Unknown,Ahmad Al Bendary,"Ehab El Sergany, Ahmad Helmy",ar,86,3.0,Drama,ar,11,2,1
2024,Comedy,"Vanessa Paradis, Paul Elliot, Genti Kame, Jean-François Cayrey, Mathieu Lardot, François Damiens, William Lebghil, Alicia Hava, Lucile de la Morena, Bruno Podalydès, Lise Laffont, Émilie Cazenave, Diane Robert, Phil Wharton, Laura Felpin, Thomas Trigeaud, Benjamin Gomez",Cécilia Rouaud,"Fireflight, Artémis Productions, La Classe américaine",Cécilia Rouaud,"Frank Mettre, Stan Collet",fr,97,5.521,Comedy,fr,17,1,1
2025,"Drama, Romance","Jaden Rain, Kristin Kreuk, Jimi Mistry, Jasmine Sky Sarin, Chenier Hundal, Madhur Jaffrey, Arya Babbar, Jesse Moss, Neve Campbell, Lushin Dubey, John Light, Irrfan Khan","Patricia Finn, Vic Sarin",Khussro Films,Vic Sarin,"Tina Pehme, Kim Roberts",en,116,6.268,Drama,en,12,2,1
2026,"Drama, History, Romance","Adrià Collado, Pere Arquillué, Biel Duran, Ivana Baquero, Laura Morante, María Valverde, Irene Montalà, Jean-Marc Barr, Nina Hoss, Irene Visedo, Silvia Sabaté, Natja Jamaan, Juan Diego Botto",Marie Noëlle,"P'Artisan Filmproduktion, Zip Films, KV Entertainment, Instinctive Film, P'Artisan Filmproduktion GmbH","Marie Noëlle, Peter Sehr","Marie Noëlle, Peter Sehr",es,112,5.5,Drama,es,13,1,1
2027,Drama,"Lorena Guerreau, Vincent Martinez, Eric Ruf, Clémence Poésy, Yannick Soulier, Iroue Cedron, Yaël Abecassis","Marie Desplechin, Olivier Panchot",Elzévir Films,Olivier Panchot,"Marie Masmonteil, Denis Carot",fr,90,3.143,Drama,fr,7,2,1
2028,"Drama, Adventure","Joseph Bertót, Travis Fimmel, Bob Olin, Connor Brenes, P.E. Ingraham, Teyah Hartley, Julia Prud'homme, Jason Rouse, Kurt Conroyd, Chris Ihlenfeldt, Frank Gallegos, Francisco Diego Garcia, Dana Millican, Dennis Fitzpatrick, Justin Rain, Kyle Stoltz, Rachael Perrell Fosket, Steve Zahn, Chloë Sevigny, Ayanna Berkshire, Tolo Tuitele, Steve Buscemi, Jason Beem, Amy Seimetz, Alison Elliott, Charlie Plummer, Rusty Tennant, Lewis Pullman, Heath Lourwood","Andrew Haigh, Willy Vlautin","The Bureau, Film4 Productions",Andrew Haigh,"Lizzie Francke, Ben Roberts, Darren M. Demetre, Vincent Gadelle, Sam Lavender, Daniel Battsek, David Kosse, Tristan Goligher",en,121,6.935,Drama,en,29,2,1
2029,Drama,"Alfred Drayton, Campbell Gullan, Leslie Banks, Percy Parsons, Allan Jeayes, Henry Oscar, John Laurie, Fewlass Llewellyn, Frederick Piper, Jack Raine, Henry Caine, George Carney, Donald Calthrop, Frank Vosper, Carol Goodner, Jack Lambert","L. du Garde Peach, Jerome Jackson, Michael Powell",Gainsborough Pictures,Michael Powell,Jerome Jackson,en,69,5.7,Drama,en,16,3,1
2030,"Music, Romance","Aida Aris, Sham Visa, Raja Azura",Unknown,Unknown,Pansha,Unknown,en,108,10.0,Music,en,3,0,1
2031,"Family, Comedy","Charles Simon, Eric Idle, Tony Bluto, Martin Brown, Kenneth W. Caravan, Jack Mason, Dorothea Phillips, Ian Richardson, Sherwood Ball, Rene Costa, David Keyes, Mike Hayley, Alice Evans, Adriana Nima, Jim Carter, Ben Crompton, Leilani Holmes, David Horovitch, Gérard Depardieu, Jonathan Lucas, Delphine Annaiis, Suzy Kewer, Ron Cook, Nigel Rixon, Kerry Shale, Macéo Bhardwaj, Julia Bridgeman, June Watson, John Styles, Jake Lanning, Ioan Gruffudd, Dick Brannick, JB Blanc, Tina Simmons, Tim Willcox, Tim McInnerny, Hugh Futcher, Karen Kennedy, Timothy West, Brett Reylander, James Payne, Thierry Lawson, Glenn Close, Nicholas Hutchison, Tessa Vale, Ann Mills, Carol MacReady, Ian Boo Khoo, Greg Bronson","Kristen Buckley, Noni White, Brian Regan, Dodie Smith, Bob Tzudiker","Walt Disney Pictures, Cruella Productions, Kanzaman S.A.M.",Kevin Lima,Edward S. Feldman,en,100,5.481,Family,en,49,5,1
2032,Horror,"Beverly Randolph, Rebecca Rinehart, Julie Anne Prescott, Scott Swope, Sasha Graham, Felissa Rose, Tuesday Knight, Lyon Beckwith, Timothy Skyler Dunigan, Brandy Mason","Doug Snauffer, Chris O'Brocki, Todd Martin",Unknown,Brad Twigg,Unknown,en,105,4.0,Horror,en,10,3,1
2033,Drama,"Seong Byeong-suk, Min Kyung-jin, Jung Kyung-soon, Park Cheol-min, Lee Du-il, Ahn Sun-Young, Park Won-sang, Lee Dae-geun",Unknown,Unknown,Shim Kwang-jin,Unknown,ko,96,4.0,Drama,ko,8,0,1
2034,"Comedy, Crime","Alton Fields, Deslyn Bernet, Alexis Swanigan, David Smilow, Lachelle Chamberlain, Nancy Osco, Elizabeth Halsey, Marc Isaac, John Albert, Mike Hanks, Bill Whitman, Lenka Novak, Leslie King, B.J. Bush, Hugh Brenneman, Robert Worms, Janie Squire, Adina Ross, Carmen Hayward, Kristine DeBell, Andrew J. Kuehn, Elyce Wakerman, Billy McVay, Dave Gilbert, Jason Williams, Payton Reid, Debbie Doherty, Shell Kepler, Janet Blythe, Wally Ann Wharton, Marilyn Joi, Joan Wolff, Robert Houston, Wyatt Johnson, Leon Isaac Kennedy, Betty Osco","D.W. Gilbert, Jason Williams",Unknown,Jeff Werner,"Bill Osco, Chuck Russell",en,87,3.688,Comedy,en,36,2,1
2035,"Action, Adventure","Pietro Ceccarelli, Jann Fox, Daniele Vargas, Salvatore Baccaro, Pietro Torrisi, Mimmo Palmara, Franco Garofalo, Pam Grier, Jho Jhenkins, Lucretia Love, Ivan Gasper, Anna Melita, Paul Müller, Silvio Laurenzi, Maria Pia Conte, Margaret Markov, Rosalba Neri, Vassili Karis, Marie Louise Sinclair, Antonio Casale","John William Corrington, Joyce Hooper Corrington","Rover Film, New World Pictures, San Jacinto Productions, Dany Film",Steve Carver,"Mark Damon, Roger Corman",en,82,5.439,Action,en,20,2,1
2036,Documentary,"Daniel Hale, Lisa Ling, Heather Linebaugh, Kim Dunbar, Allen Capron, Jesselyn Radack, Barack Obama, Stanley McChrystal, Asma Nazihi Eschen",Unknown,"Ten Forward Films, ITVS, Independent Lens, Corporation for Public Broadcasting, NDR, Deutscher Filmförderfonds, Filmförderung Hamburg Schleswig-Holstein, Kuratorium Junger Deutscher Film",Sonia Kennebeck,"Errol Morris, Sonia Kennebeck, Lois Vossen, Wim Wenders, Sally Jo Fifer, Ines Hofmann Kanna",en,92,6.7,Documentary,en,9,0,1
2037,"Music, Romance","Fred Hueston, Renée Adorée, Russell Hopton, Lillian Lawrence, Dorothy Jordan, Ramon Novarro, Mathilde Comont, Frank Yaconelli, Leo White, Ernest Torrence, Sidney D'Albrook, Julia Griffith, Adolph Milar, Nance O'Neil","Dorothy Farnum, John Colton",Metro-Goldwyn-Mayer,Charles Brabin,Unknown,en,100,4.5,Music,en,14,2,1
2038,"TV Movie, Comedy, Drama","Lorenz Grabow, Jan Rüth, Wolf Danny Homann, Vivian Kanner, Hannah Gharib, Tim-Olrik Stöneberg, Wotan Wilke Möhring, Hannes Wegener, Max Kruk, Jördis Triebel, Fabiano Bernardi, Maurizio Magno, Jochen Langner, Sophie Schlüter, Petra Kalkutschke, Philipp Basener, Constantin Gerhards, Josefine Keller, Fabiano Senking, Rebekka Wurst, Daria Wolf","Leo Khasin, Katja Röder, Fred Breinersdorfer","Filmallee, ZDF",Leo Khasin,Franziska Lindner,de,88,7.9,TV Movie,de,21,3,1
2039,Documentary,"Dave Gardner, Simon Oliveira, David Beckham",Unknown,"Big Earth, BBC Film",Matt Smith,"Matt Smith, Lisa Doyle, Emma Hindley",en,87,6.0,Documentary,en,3,0,1
2040,"Drama, Crime, TV Movie","Hans-Werner Meyer, Ulrich Noethen, Udo Schenk, Christine Neubauer, Claus Wilcke, Oscar Ortega Sánchez, Florian Fitz, Peter von Strombeck, Martin Armknecht, Bärbel Stolz",Frank Zeller,ARD,Michael Kreindl,"Hans-Wolfgang Jurgan, Regina Ziegler",de,90,4.9,Drama,de,10,1,1
2041,"Adventure, Documentary","Mauro Calibani, Cristian Brenna, Bernd Zangerl, Much Mayr, Markus Bock, Ben Moon, Jerry Moffatt, Gerhard Hörhager, David Lama","Gerhard Hörhager, Richard Schipflinger",Riroc Pictures,"Gerhard Hörhager, Richard Schipflinger","Gerhard Hörhager, Richard Schipflinger",de,71,10.0,Adventure,de,9,2,1
2042,"Thriller, TV Movie","Constance Wu, Brynn Thayer, Justin Huen, Mark Hapka, Alicia Ziegler, Bob Gebert, Patrick Muldoon, Teni Panosian, Donna Mills",Jenna Mattison,"Feifer Worldwide, MarVista Entertainment",Michael Feifer,Michael Feifer,en,92,3.2,Thriller,en,9,1,1
2043,Animation,"Bill Fagerbakke, Tom Kenny, Mr. Lawrence, Clancy Brown, Rodger Bumpass, Carolyn Lawrence","Tim Hill, Stephen Hillenburg",Nickelodeon Productions,Unknown,Unknown,en,110,8.5,Animation,en,6,2,0
2044,Comedy,"Art Miles, Clair Freeman, Frank Penny, Marvin Bailey, Frank J. Scannell, Jim Toney, David Marshall, Jay Silverheels, Nickolai, Vivian DuBois, Tom Tamarez, Murray Leonard, Dina Smirnova, William Rivas, Margaret Kelly, Jody Gilbert, Ed Agresti, Al Hill, Eric Alden, Phil Neely, Daniel Barone, Margaret Savage, David Thursby, Carol Carleton, Dave Kashner, Duke Johnson, Ellinor Vanderveer, Jack 'Tiny' Lipson, Will Stanton, Charles Marsh, Jack Kenney, Harry Cording, John Indrisano, Harry Wilson, James Dime, Delos Jewkes, Victor Romito, Robert Barron, Marilyn Maxwell, Ward Shattuck, Aileen Haley, Bud Abbott, Jan Bryant, Peter Cusanelli, Billy Bletcher, Jimmy Dorsey, Dorothea Dodd, Lala Detolly, Tom Herbert, María Belmar, John Berkes, John Conte, Ernst Brengt, Jerry Pina, Paul Gordon, Manuel París, Douglass Dumbrille, Carey Loftin, Bill Seckler, Ramiro Rivas, Jack Stoney, Kay Kingsley, Bud Wolfe, Bud Jamison, Freeman High, Remington Olmsted, Karin Booth, Heinie Conklin, John Stanley, Mack McLean, Johnnie Johnson, Louis Manley, Elinor Troy, Jimmy Ames, Hubert Brill, Toni LaRue, Paul Newlan, Allan Cook, Lock Martin, Dick Gordon, Bill Wolfe, Frances Ramsden, Justin Conlon, Symona Boniface, George Nardelli, Ralph Sanford, Fred Johnson, James Clemens, Richard Alexander, Milton Parsons, Ben Ayassa Wadrassi, Eddie Dunn, Bill Hunter, Jenaro Pina, Jack Perry, Adia Kuznetzoff, Eddie Abdo, George David, Lottie Harrison, Frank Hagney, Harry Burns, Sandra Morgan, Virginia S. Ellsworth, Randolph Symonette, Nick Thompson, Lou Costello, Tor Johnson, Duke York, Seraphime Davidoff, David Cota, Rudy Germane, John ""Skins"" Miller, Sondra Rodgers, Mitchell Lewis, Jacqueline Milo, Sammy Stein, Feodor Chaliapin Jr., Hubert Bland, Hal Gould, Mary Ellen Popel, Jimmy Conlin, Art Foster","Harry Ruskin, Harry Crane, John Grant",Metro-Goldwyn-Mayer,Charles Reisner,George Haight,en,89,5.542,Comedy,en,122,3,1
2045,Comedy,"Chester Morris, Dusty Anderson, Marguerite Chapman, Frank Jenks, Jerome Cowan, Lewis L. Russell, Frank Sully, Willard Parker, Irving Bacon, Hugh Herbert, Roscoe Karns, Janis Carter","Joseph Hoffman, Jack Henley, Lester Lee, Larry Marks",Columbia Pictures,Ray Enright,Unknown,en,83,7.0,Comedy,en,12,4,1
2046,"Drama, Romance","Chris Fung, Nima Taleghani, Kiruna Stamell, Vaneeka Dadhria, Philip Cairns, Eben Figueiredo, Nari Blair-Mangat, Carla Harrison-Hodge, James McAvoy, Mikael Johnson, Brinsley Terence, Michele Austin, Seun Shote, Anita-Joy Uwajeh, Adrian Der Gregorian, Tom Edden, Adam Best, Sam Black","Martin Crimp, Edmond Rostand",National Theatre,Jamie Lloyd,Unknown,en,160,9.1,Drama,en,18,2,1
2047,Unknown,"Ho Yuhang, Len Siew Mee, Berg Lee, Bok Lai Loh, Danny Lim, Patrick Teoh",James Lee,Unknown,James Lee,Unknown,zh,113,4.7,Unknown,zh,6,1,1
2048,"Horror, Comedy","Mike Noble, Charlie Bewley, Jack Gordon, Daniel Elías, Jack Doolan, Obi Abili","Michelle Samford, Chris Hill","Strike Films, Lex Filmed Entertainment",Edward McGown,"Tracey Adam, Sascha Hecks, Georgina Edwards",en,86,4.7,Horror,en,6,2,1
